fly,treatment,trial,iteration,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP
CA61,g150,1_00-00-22,1,3.3756,0.01470129900678024,8,14,0.025,0.029166666666666667,0.05416666666666667,0.5384615384615384,1.2666520761432012,0.0,1.341474818580792,26.643377891997204,"(489.75, 1140.25)","(482.25, 1047.0)",15,21,0.025,0.029166666666666667,0.05416666666666667,0.5384615384615384,1.470053044164339,0.0,1.180749977964063,26.008196500078178,"(318.5, 1241.0)","(314.5, 1132.5)",15,20,0.020833333333333332,0.041666666666666664,0.0625,0.6666666666666666,1.6439700648213365,0.0,1.695966282327843,25.851355158516675,"(527.0, 1087.5)","(505.5, 968.0)",9,13,0.016666666666666666,0.0375,0.05416666666666667,0.6923076923076923,1.6100301226592064,0.0,2.28255038930761,26.66828304268915,"(246.0, 1046.5)","(215.75, 931.5)",9,15,0.025,0.03333333333333333,0.058333333333333334,0.5714285714285714,1.3773004128110973,0.0,1.518561812550015,27.040422213664378,"(451.75, 920.75)","(434.5, 820.5)",14,21,0.029166666666666667,0.03333333333333333,0.0625,0.5333333333333333,1.7178658251520258,0.0,1.3428577650770896,26.49352084950108,"(266.75, 1008.25)","(246.5, 883.0)"
CA61,g150,1_00-00-22,1,3.3756,0.01470129900678024,21,27,0.025,0.03333333333333333,0.058333333333333334,0.5714285714285714,1.341474818580792,0.0,1.4166686824256702,24.803349534112876,"(513.25, 1236.5)","(489.75, 1140.25)",28,34,0.025,0.03333333333333333,0.058333333333333334,0.5714285714285714,1.180749977964063,0.21498902620199056,1.2975372698369205,22.60082757701711,"(324.5, 1328.0)","(318.5, 1241.0)",30,34,0.016666666666666666,0.041666666666666664,0.058333333333333334,0.7142857142857142,1.695966282327843,0.0,1.5410159727311277,22.517242140475826,"(525.5, 1212.75)","(527.0, 1087.5)",22,27,0.020833333333333332,0.05,0.07083333333333333,0.7058823529411765,2.28255038930761,0.0,0.772844655706417,23.91437555735686,"(260.0, 1214.5)","(246.0, 1046.5)",23,29,0.025,0.0375,0.0625,0.6,1.518561812550015,0.0,1.8774620131825288,24.591872353921634,"(482.0, 1028.75)","(451.75, 920.75)",29,36,0.029166666666666667,0.041666666666666664,0.07083333333333333,0.5882352941176471,1.3428577650770896,0.0,0.23725847121972266,25.519921571878207,"(282.0, 1106.25)","(266.75, 1008.25)"
CA61,g150,1_00-00-22,1,3.3756,0.01470129900678024,35,,,,,,,,,,,"(513.25, 1236.5)",42,,,,,,,,,,,"(337.75, 1319.25)",44,,,,,,,,,,,"(525.5, 1212.75)",39,,,,,,,,,,,"(260.0, 1214.5)",38,,,,,,,,,,,"(482.0, 1028.75)",46,,,,,,,,,,,"(282.0, 1106.25)"
CA61,g150,1_00-00-32,1,3.3756,0.01470129900678024,4,12,0.03333333333333333,0.0375,0.07083333333333333,0.5294117647058824,1.7269033640830262,0.0,1.3368610787245825,21.12735389795858,"(657.75, 987.25)","(752.5, 1073.25)",13,19,0.025,0.0375,0.0625,0.6,1.5951960903023297,0.0,1.4455245695442733,24.687379191855776,"(769.75, 905.0)","(840.75, 999.5)",16,21,0.020833333333333332,0.041666666666666664,0.0625,0.6666666666666666,1.1899704306783216,0.0,1.2479356752300732,23.86265242989342,"(602.25, 1047.25)","(661.0, 1113.0)",9,13,0.016666666666666666,0.0375,0.05416666666666667,0.6923076923076923,1.9527582680915703,0.0,1.67964266004067,23.59523136557293,"(875.0, 1014.0)","(937.5, 1144.5)",13,15,0.008333333333333333,0.04583333333333333,0.05416666666666667,0.846153846153846,0.428954150283419,0.2342394137144949,1.4313948003965902,24.840651819933978,"(668.0, 1228.25)","(678.5, 1258.25)",5,9,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.3271956295396679,0.0,1.6816475410576615,23.297636413408558,"(897.75, 1182.25)","(902.0, 1280.5)"
CA61,g150,1_00-00-32,1,3.3756,0.01470129900678024,21,27,0.025,0.0375,0.0625,0.6,1.3368610787245825,0.0,1.455245004122154,25.39493718160872,"(569.25, 942.75)","(657.75, 987.25)",28,33,0.020833333333333332,0.0375,0.058333333333333334,0.6428571428571428,1.4455245695442733,0.0,1.4392938737115006,27.547085024414006,"(700.25, 823.5)","(769.75, 905.0)",31,35,0.016666666666666666,0.0375,0.05416666666666667,0.6923076923076923,1.2479356752300732,0.0,1.3272899737411585,31.059669331929786,"(556.75, 966.75)","(602.25, 1047.25)",22,27,0.020833333333333332,0.0375,0.058333333333333334,0.6428571428571428,1.67964266004067,0.0,1.5377141481021313,24.832745572218546,"(799.25, 915.25)","(875.0, 1014.0)",26,30,0.016666666666666666,0.029166666666666667,0.04583333333333333,0.6363636363636365,1.2462789682313795,0.0,1.6244322387522692,23.900570979195702,"(626.25, 1130.75)","(671.5, 1211.25)",17,23,0.025,0.0375,0.0625,0.6,1.6816475410576615,0.11416663393291698,1.490274261926932,23.303874132056023,"(860.0, 1063.5)","(897.75, 1182.25)"
CA61,g150,1_00-00-32,1,3.3756,0.01470129900678024,36,42,0.025,0.03333333333333333,0.058333333333333334,0.5714285714285714,1.455245004122154,0.0,1.4381070293095999,29.93371506526927,"(539.0, 839.25)","(569.25, 942.75)",42,48,0.025,0.0375,0.0625,0.6,1.4392938737115006,0.0,1.781903031408014,27.835306263895554,"(666.75, 722.25)","(700.25, 823.5)",44,49,0.020833333333333332,0.041666666666666664,0.0625,0.6666666666666666,1.3272899737411585,0.0,1.5707098554873709,27.33263912445201,"(533.25, 871.25)","(556.75, 966.75)",36,42,0.025,0.04583333333333333,0.07083333333333333,0.6470588235294117,1.5377141481021313,0.0,1.4479637440007345,29.4285562047626,"(767.75, 805.75)","(799.25, 915.25)",37,44,0.029166666666666667,0.0375,0.06666666666666667,0.5625,1.6244322387522692,0.0,1.3870106812709246,29.005798294226395,"(602.5, 1012.75)","(626.25, 1130.75)",32,37,0.020833333333333332,0.041666666666666664,0.0625,0.6666666666666666,1.4213831517831474,0.0,1.6060275450783823,32.02675678002665,"(801.25, 970.0)","(862.75, 1055.5)"
CA61,g150,1_00-00-32,1,3.3756,0.01470129900678024,50,,,,,,,,,,,"(539.0, 839.25)",57,,,,,,,,,,,"(666.75, 722.25)",59,,,,,,,,,,,"(533.25, 871.25)",53,,,,,,,,,,,"(767.75, 805.75)",53,,,,,,,,,,,"(602.5, 1012.75)",47,52,0.020833333333333332,0.0375,0.058333333333333334,0.6428571428571428,1.6060275450783823,0.0,1.1694705887569201,26.875592620190876,"(759.0, 858.75)","(801.25, 970.0)"
CA61,g150,1_00-00-32,1,3.3756,0.01470129900678024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,"(759.0, 858.75)"
CA61,g150,1_00-00-43,1,3.3756,0.01470129900678024,10,14,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.3055555832296801,0.0,1.098760287647674,24.48864897043234,"(392.0, 973.75)","(352.5, 885.0)",4,8,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.6001069966954442,0.0,0.8534934242677643,30.818652252977177,"(226.75, 908.25)","(185.0, 796.75)",5,9,0.016666666666666666,0.0375,0.05416666666666667,0.6923076923076923,0.8943383081168652,0.0,0.9427060370909985,31.140482462702842,"(468.25, 852.5)","(456.5, 787.0)",11,13,0.008333333333333333,0.0375,0.04583333333333333,0.8181818181818182,0.8769973495526954,0.10415602707250335,1.522496553876928,24.319135396481105,"(202.25, 754.25)","(168.75, 698.25)",11,17,0.025,0.03333333333333333,0.058333333333333334,0.5714285714285714,1.746309348299253,0.0,0.8536455155744942,22.883078694727324,"(461.25, 785.75)","(468.25, 656.0)",5,9,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,1.2672775638009686,0.05039807761572743,1.07659123050864,32.143140759214056,"(248.5, 659.75)","(262.5, 566.5)"
CA61,g150,1_00-00-43,1,3.3756,0.01470129900678024,22,27,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.098760287647674,0.0,1.3306153013892295,27.81714172026453,"(410.0, 1053.5)","(392.0, 973.75)",16,20,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,0.8534934242677643,0.0,1.5986953760358495,25.72003291196684,"(213.0, 970.25)","(226.75, 908.25)",18,22,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,0.9427060370909985,0.0,1.0164042706865197,27.552260234898338,"(472.75, 922.5)","(468.25, 852.5)",22,27,0.020833333333333332,0.029166666666666667,0.05,0.5833333333333333,1.5159315799627129,0.0,1.2929047039711574,27.81714172026453,"(213.25, 867.0)","(210.0, 754.25)",25,29,0.016666666666666666,0.03333333333333333,0.05,0.6666666666666666,0.8536455155744942,0.0,1.0978198078525212,27.264609546298367,"(462.75, 849.25)","(461.25, 785.75)",17,22,0.020833333333333332,0.025,0.04583333333333333,0.5454545454545455,1.1257225408126468,0.0,1.397706685876174,26.627849368215855,"(266.75, 737.75)","(248.5, 656.0)"
