,fly,treatment,trial,iteration,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP
0,CA58,g24,2_00-01-38,4,3.1732,0.0135638279835335,11.0,16.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.8628098112005396,0.0,1.7338336876707332,18.67847264483361,"(1141.0, 277.0)","(997.5, 245.5)",4.0,9.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,2.2125969585303804,0.0,0.8797780366713879,20.097686211597303,"(1164.0, 430.25)","(990.0, 417.0)",5.0,9.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.2647825948443263,0.0,2.0409077252750336,22.373072406344924,"(961.25, 218.75)","(873.0, 265.25)",13.0,18.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.3971954567299936,0.0,1.361814910760953,21.32488685092521,"(1074.5, 520.25)","(971.25, 481.75)",13.0,17.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.666366040733967,0.0,1.614442250973692,21.32488685092521,"(893.5, 324.5)","(762.25, 317.75)",8.0,12.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,0.7100515420382324,0.0,1.2508629423647883,18.70627178153307,"(888.0, 498.25)","(832.0, 498.5)"
1,CA58,g24,2_00-01-38,4,3.1732,0.0135638279835335,24.0,29.0,0.0208333333333333,0.0458333333333333,0.0666666666666666,0.6875,1.7338336876707332,0.0,0.7998873454536914,28.153973576730003,"(1275.25, 303.0)","(1141.0, 277.0)",19.0,24.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,0.8797780366713879,0.0,1.700338484697049,28.23198960923736,"(1215.5, 476.75)","(1164.0, 430.25)",18.0,22.0,0.0166666666666666,0.0541666666666666,0.0708333333333333,0.7647058823529412,2.0409077252750336,0.0,1.4973265026121712,25.74313042991597,"(1115.5, 264.75)","(961.25, 218.75)",27.0,32.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.361814910760953,0.0,1.5859378768944532,28.60356664078398,"(1181.75, 526.0)","(1074.5, 520.25)",27.0,32.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.614442250973692,0.0,1.8830165109408523,28.60356664078398,"(1020.0, 310.0)","(893.5, 324.5)",22.0,25.0,0.0125,0.0416666666666666,0.0541666666666666,0.7692307692307692,1.2508629423647883,0.0,1.5829700313974902,28.34333235117513,"(986.5, 503.75)","(888.0, 498.25)"
2,CA58,g24,2_00-01-38,4,3.1732,0.0135638279835335,40.0,,,,,,,,,,,"(1275.25, 303.0)",33.0,37.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,1.700338484697049,0.0031698413684585,1.14389118161328,25.79320782313407,"(1349.5, 471.5)","(1215.5, 476.75)",35.0,39.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.4973265026121712,0.0,0.9326985540937291,27.31836895147578,"(1230.75, 239.0)","(1115.5, 264.75)",41.0,,,,,,,,,,,"(1181.75, 526.0)",41.0,,,,,,,,,,,"(1020.0, 310.0)",35.0,41.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,1.5829700313974902,0.0,1.6318526854998898,27.07782343185973,"(1107.5, 473.0)","(986.5, 503.75)"
3,CA58,g24,2_00-01-38,4,3.1732,0.0135638279835335,,,,,,,,,,,,,48.0,,,,,,,,,,,"(1349.75, 471.5)",47.0,,,,,,,,,,,"(1230.75, 239.0)",,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,"(1107.5, 473.0)"
4,CA58,g24,1_00-00-27,4,3.1732,0.0135638279835335,5.0,10.0,0.0208333333333333,0.0541666666666666,0.075,0.7222222222222223,1.4672803392175953,0.0,1.2648156945380686,16.310901868211246,"(1142.75, 568.75)","(1063.75, 650.25)",11.0,17.0,0.025,0.0583333333333333,0.0833333333333333,0.7000000000000001,1.8004205486499631,0.0,1.1720947081763162,14.195839175151756,"(1162.0, 754.5)","(1023.0, 763.25)",18.0,22.0,0.0166666666666666,0.0916666666666666,0.1083333333333333,0.846153846153846,1.3798180194112235,0.1066973513658697,1.0652542031743408,15.158740918000138,"(1112.75, 501.0)","(1012.0, 465.75)",5.0,10.0,0.0208333333333333,0.0583333333333333,0.0791666666666666,0.736842105263158,0.6173272093294062,0.1056645340710718,2.2275333799003305,16.109061073202046,"(922.0, 748.25)","(876.5, 762.75)",11.0,14.0,0.0125,0.0583333333333333,0.0708333333333333,0.823529411764706,0.731273122269468,0.0950491950945146,0.7556054225883176,14.349764175701962,"(906.0, 488.25)","(849.75, 494.25)",11.0,19.0,0.0333333333333333,0.0541666666666666,0.0875,0.6190476190476191,1.0830334478965655,0.0,1.31448826336577,13.519846833477864,"(866.5, 684.5)","(782.75, 686.75)"
5,CA58,g24,1_00-00-27,4,3.1732,0.0135638279835335,23.0,29.0,0.025,0.0791666666666666,0.1041666666666666,0.7599999999999999,1.2648156945380686,0.0,1.7008966371083514,16.01081774456572,"(1240.5, 564.5)","(1142.75, 568.75)",31.0,37.0,0.025,0.0666666666666666,0.0916666666666666,0.7272727272727273,1.1720947081763162,0.0,1.4543537670366795,19.672789236369727,"(1252.0, 765.5)","(1162.0, 754.5)",44.0,,,,,,,,,,,"(1121.0, 500.75)",24.0,28.0,0.0166666666666666,0.075,0.0916666666666666,0.8181818181818182,2.20013499844837,0.0778313182956441,1.3582086035641796,16.643065447746576,"(1093.0, 769.5)","(925.25, 740.75)",28.0,30.0,0.0083333333333333,0.025,0.0333333333333333,0.75,0.7206918641531943,0.0679440646665092,0.7100044063962947,12.939514681828047,"(964.0, 495.5)","(908.25, 495.25)",32.0,36.0,0.0166666666666666,0.0291666666666666,0.0458333333333333,0.6363636363636365,1.31448826336577,0.0,0.8251588124103733,20.331244183749902,"(965.0, 709.75)","(866.5, 684.5)"
6,CA58,g24,1_00-00-27,4,3.1732,0.0135638279835335,48.0,,,,,,,,,,,"(1240.5, 564.5)",53.0,,,,,,,,,,,"(1252.0, 765.5)",,,,,,,,,,,,,46.0,,,,,,,,,,,"(1088.5, 773.5)",36.0,41.0,0.0208333333333333,0.0458333333333333,0.0666666666666666,0.6875,0.7182676070082656,0.0,1.0259430584618654,22.456729491643557,"(1015.25, 515.25)","(961.75, 500.25)",43.0,,,,,,,,,,,"(965.0, 709.75)"
7,CA58,g24,1_00-00-27,4,3.1732,0.0135638279835335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,"(1015.25, 515.25)",,,,,,,,,,,,
8,CA60,g24,1_00-01-05,1,3.1511,0.0136862937242868,2.0,9.0,0.0291666666666666,0.0916666666666666,0.1208333333333333,0.7586206896551724,1.7737917686117997,0.0,1.5803139458109317,25.59353704453475,"(939.0, 613.25)","(1028.0, 719.75)",21.0,27.0,0.025,0.0708333333333333,0.0958333333333333,0.7391304347826086,1.9204917469204168,0.0,1.6761387579500022,22.7612039305218,"(936.25, 420.25)","(1062.5, 501.75)",9.0,15.0,0.025,0.0458333333333333,0.0708333333333333,0.6470588235294117,2.026269824051957,0.0,1.1106469636216327,25.43708846256855,"(972.75, 694.25)","(1110.5, 772.75)",13.0,19.0,0.025,0.0541666666666666,0.0791666666666666,0.6842105263157895,1.4850804236494732,0.0,1.6541883544768787,29.31708735840086,"(1104.0, 499.0)","(1219.5, 511.75)",4.0,8.0,0.0166666666666666,0.0291666666666666,0.0458333333333333,0.6363636363636365,1.0845164526329434,0.0,1.8215548773814607,27.349157184519825,"(1175.25, 769.5)","(1255.0, 798.5)",7.0,14.0,0.0291666666666666,0.0375,0.0666666666666666,0.5625,1.7065822606048349,0.072928406631095,1.5988288017013528,23.019741880511276,"(1200.25, 597.25)","(1332.0, 619.0)"
9,CA60,g24,1_00-01-05,1,3.1511,0.0136862937242868,31.0,33.0,0.0083333333333333,0.0125,0.0208333333333333,0.6000000000000001,1.5803139458109317,0.0,1.3348204787418836,23.869428980407907,"(821.25, 575.5)","(939.0, 613.25)",44.0,50.0,0.025,0.0416666666666666,0.0666666666666666,0.625,1.6761387579500022,0.2131365191851074,1.371213222884416,20.51312644643116,"(819.5, 360.5)","(936.25, 420.25)",26.0,30.0,0.0166666666666666,0.0583333333333333,0.075,0.7777777777777778,1.1106469636216327,0.0,1.8333833617080408,22.711080955310727,"(886.75, 681.75)","(972.75, 694.25)",32.0,37.0,0.0208333333333333,0.0583333333333333,0.0791666666666666,0.736842105263158,1.6541883544768787,0.0,1.6866059234123445,14.551032709462554,"(1002.25, 419.0)","(1104.0, 499.0)",15.0,25.0,0.0416666666666666,0.0416666666666666,0.0833333333333333,0.5,1.8215548773814607,0.2076783477749661,1.2710885088682524,28.72119216326913,"(1041.5, 720.25)","(1175.25, 769.5)",23.0,32.0,0.0375,0.0458333333333333,0.0833333333333333,0.55,1.6717570789559637,0.0804493412571516,1.5477938876257686,24.1243848576586,"(1090.75, 536.75)","(1205.25, 600.0)"
