,fly,treatment,trial,iteration,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP
10,CA62,glass,1_00-00-39,4,2.8657,0.0128930278373364,,,,,,,,,,,,,37.0,,,,,,,,,,,"(917.5, 339.75)",39.0,,,,,,,,,,,"(673.75, 155.75)",,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,"(694.75, 436.25)"
11,CA58,glass,2_00-02-54,2,3.1732,0.0135638279835335,13.0,18.0,0.0208333333333333,0.0458333333333333,0.0666666666666666,0.6875,1.5055194202841145,0.0,1.4912741089478734,25.751566698346466,"(1392.75, 372.25)","(1362.25, 471.0)",6.0,11.0,0.0208333333333333,0.0458333333333333,0.0666666666666666,0.6875,2.1000569179513264,0.0,1.397923438360891,23.517135435450104,"(1467.0, 556.5)","(1359.0, 652.0)",7.0,12.0,0.0208333333333333,0.0541666666666666,0.075,0.7222222222222223,0.9678150016957132,0.0,1.0715506059265771,26.323159440331736,"(1262.5, 408.5)","(1208.0, 446.5)",14.0,18.0,0.0166666666666666,0.05,0.0666666666666666,0.75,1.807903957385356,0.0,1.832523140577839,26.68273770996007,"(1436.0, 615.25)","(1341.75, 696.0)",19.0,22.0,0.0125,0.0416666666666666,0.0541666666666666,0.7692307692307692,0.8648936274895487,0.0415217425778244,1.5029670816909548,29.717648506385256,"(1197.25, 472.0)","(1140.75, 490.25)",7.0,13.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,1.2313031864274897,0.1731243337369021,2.0429404945469147,25.61923975077565,"(1229.5, 694.0)","(1153.5, 731.0)"
12,CA58,glass,2_00-02-54,2,3.1732,0.0135638279835335,29.0,34.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.4912741089478734,0.0,2.0229393246147622,35.74988323275751,"(1435.0, 279.0)","(1392.75, 372.25)",22.0,26.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.397923438360891,0.0,1.6827835608756423,28.29318542617184,"(1540.25, 494.5)","(1467.0, 556.5)",25.0,29.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.0715506059265771,0.0,1.6274518581543551,30.298861996014217,"(1309.0, 351.5)","(1262.5, 408.5)",30.0,34.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.832523140577839,0.0,1.5922383723554263,35.08064780536742,"(1537.0, 540.25)","(1436.0, 615.25)",32.0,37.0,0.0208333333333333,0.025,0.0458333333333333,0.5454545454545455,1.4856162949503682,0.0,1.495869178457819,36.616813731794856,"(1275.5, 404.75)","(1196.5, 469.25)",20.0,29.0,0.0375,0.025,0.0625,0.4,1.8778205211712091,0.1025511391982782,1.733203282339538,27.40712969104426,"(1338.5, 605.75)","(1240.5, 689.5)"
13,CA58,glass,2_00-02-54,2,3.1732,0.0135638279835335,42.0,,,,,,,,,,,"(1435.0, 279.0)",35.0,40.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.6827835608756423,0.0,1.7403657831899744,38.89274957533484,"(1634.0, 427.0)","(1540.25, 494.5)",38.0,41.0,0.0125,0.0375,0.05,0.7499999999999999,1.6274518581543551,0.0,1.7655474909284676,36.402997234156,"(1388.25, 272.75)","(1309.0, 351.5)",44.0,,,,,,,,,,,"(1537.0, 540.25)",43.0,,,,,,,,,,,"(1275.5, 404.75)",35.0,44.0,0.0375,0.0208333333333333,0.0583333333333333,0.3571428571428571,1.782993208909295,0.0575802968888317,1.265514850352318,37.941203998520194,"(1437.5, 539.75)","(1339.25, 612.75)"
14,CA58,glass,2_00-02-54,2,3.1732,0.0135638279835335,,,,,,,,,,,,,48.0,,,,,,,,,,,"(1634.0, 427.0)",50.0,,,,,,,,,,,"(1388.25, 272.75)",,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,"(1438.75, 543.5)"
15,CA58,glass,2_00-02-50,2,3.1732,0.0135638279835335,4.0,9.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.510999586310282,0.0,1.3957581167732265,24.498658340043995,"(990.0, 571.0)","(934.0, 658.5)",12.0,17.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.1181847603491628,0.0,1.3023097400314678,24.3770274099124,"(1100.5, 724.75)","(1029.0, 753.0)",14.0,18.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.8414174206804488,0.0586320433166447,1.574606909106437,25.256654031610424,"(936.5, 552.75)","(824.75, 612.25)",5.0,9.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,1.1363416865721725,0.0,1.4424371826142135,23.65544032752523,"(1002.25, 832.25)","(943.5, 883.75)",7.0,11.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.3920397562863214,0.0686077780755501,1.5575738192679511,23.81814799712777,"(799.25, 647.0)","(720.75, 701.75)",12.0,18.0,0.025,0.0416666666666666,0.0666666666666666,0.625,1.6238535783740156,0.0506464746163226,1.3806713827489998,23.762258640486923,"(903.5, 811.75)","(811.5, 875.0)"
16,CA58,glass,2_00-02-50,2,3.1732,0.0135638279835335,19.0,24.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.3957581167732265,0.0,1.4326693709128666,22.59587919537041,"(1078.75, 534.5)","(990.0, 571.0)",26.0,30.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.3023097400314678,0.005142370377922,1.4006329243143316,23.52431858342933,"(1184.5, 693.75)","(1100.5, 724.75)",28.0,32.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.5440989291423357,0.0,1.3910753465616634,23.869643936817607,"(1034.5, 506.75)","(937.0, 548.75)",20.0,24.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.4424371826142135,0.0,1.2371489390062291,22.92638161939653,"(1091.25, 788.5)","(1002.25, 832.25)",21.0,26.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.588505594415921,0.0,1.5131943652680178,23.091878191521733,"(889.75, 589.75)","(795.25, 644.5)",28.0,33.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.386939333027253,0.0,1.3420798560496925,23.869643936817607,"(988.0, 768.5)","(904.75, 815.0)"
17,CA58,glass,2_00-02-50,2,3.1732,0.0135638279835335,33.0,38.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.4326693709128666,0.0,1.4436970153359026,24.600751702359293,"(1175.25, 514.75)","(1078.75, 534.5)",40.0,45.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.3960091281311853,0.0,1.2285907401358118,26.680520404137415,"(1275.5, 662.25)","(1184.75, 693.5)",42.0,45.0,0.0125,0.05,0.0625,0.8,1.3910753465616634,0.0,1.2932064680524322,25.49341408336136,"(1127.75, 485.5)","(1034.5, 506.75)",34.0,38.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,1.2371489390062291,0.0,1.531874072247782,26.125023067729984,"(1169.75, 755.75)","(1091.25, 788.5)",35.0,40.0,0.0208333333333333,0.0458333333333333,0.0666666666666666,0.6875,1.5131943652680178,0.0,1.395023767762687,26.090068364529134,"(986.5, 551.5)","(889.75, 589.75)",42.0,48.0,0.025,0.0375,0.0625,0.6,1.3420798560496925,0.0,1.140656111476954,25.49341408336136,"(1076.75, 743.25)","(988.0, 768.5)"
18,CA58,glass,2_00-02-50,2,3.1732,0.0135638279835335,47.0,52.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.4436970153359026,0.0,1.3741054506620236,24.565029468101795,"(1267.75, 478.75)","(1175.25, 514.75)",54.0,,,,,,,,,,,"(1275.5, 662.25)",57.0,,,,,,,,,,,"(1127.75, 485.5)",49.0,52.0,0.0125,0.0416666666666666,0.0541666666666666,0.7692307692307692,1.531874072247782,0.0,1.1317187783659244,23.57207331852969,"(1270.25, 724.25)","(1169.75, 755.75)",51.0,56.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.395023767762687,0.1057004192816941,1.03759349216618,21.640842887909603,"(1078.75, 525.25)","(986.5, 551.5)",57.0,,,,,,,,,,,"(1076.75, 743.25)"
19,CA58,glass,2_00-02-50,2,3.1732,0.0135638279835335,61.0,,,,,,,,,,,"(1267.75, 478.75)",,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,"(1270.25, 724.25)",64.0,,,,,,,,,,,"(1074.0, 519.75)",,,,,,,,,,,,
20,CA58,glass,1_00-01-44,2,3.1732,0.0135638279835335,11.0,17.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,2.01054504005408,0.0551834473653008,1.4513617219562016,24.44541038712593,"(1018.75, 664.75)","(884.0, 630.5)",4.0,9.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.2564273139175313,0.0,1.4119657489447948,23.155704526492688,"(995.5, 833.25)","(913.25, 805.25)",6.0,9.0,0.0125,0.0416666666666666,0.0541666666666666,0.7692307692307692,1.316787196459698,0.0,2.424497631720822,25.24115882834985,"(802.25, 637.5)","(711.5, 645.0)",14.0,18.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.09100235654484,0.0,1.5078844029031049,27.63148115956687,"(954.0, 893.25)","(888.25, 856.25)",11.0,18.0,0.0291666666666666,0.0291666666666666,0.0583333333333333,0.5,2.022712941235053,0.0,1.8406951740457056,25.420486969763253,"(801.5, 668.25)","(668.0, 710.0)",9.0,12.0,0.0125,0.0375,0.05,0.7499999999999999,0.8452507085791949,0.0,1.4400115016161312,24.77899430034717,"(776.0, 891.25)","(729.0, 926.0)"
